section,cluster,id,address,longitude_x,latitude_y,assignment,datebegin,city,state,dateend
NNE,460,NNE-130460,4426-30 N 04TH ST,-75.1327635318615,40.0186157655585,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
S,18621,S-0518621,433 SIGEL ST,-75.1538652303858,39.9255457586763,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,601,W-110601,4312 PENNSGROVE ST,-75.2107165949876,39.9701505475553,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,601,W-110601,4310 PENNSGROVE ST,-75.21066236847621,39.9701563233903,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
S,18621,S-0518621,431 SIGEL ST,-75.1538150501741,39.9255260260799,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
S,18621,S-0518621,430 SIGEL ST,-75.1539171926799,39.9253302799847,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,355,W-180355,4227 OGDEN ST,-75.20892231240499,39.9690546203123,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
W,355,W-180355,4226 OGDEN ST,-75.20884791604939,39.9686855041934,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
W,355,W-180355,4225 OGDEN ST,-75.2088582488074,39.9690610737377,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
W,355,W-180355,4223 OGDEN ST,-75.2087983766602,39.9690676270977,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
NNW,127,NNW-1200127,421 E ASHMEAD ST,-75.1625133521773,40.035820787098,Placebo/mow,4/18/2013,Philadelphia,PA,4/15/2015
NNW,127,NNW-1200127,419 E ASHMEAD ST,-75.1627262891793,40.0357492446164,Placebo/mow,4/18/2013,Philadelphia,PA,4/15/2015
NNW,127,NNW-1200127,417 E ASHMEAD ST,-75.1625108727001,40.035738132192,Placebo/mow,4/18/2013,Philadelphia,PA,4/15/2015
W,456,W-220456,4134 WESTMINSTER AVE,-75.20695942060139,39.9699715572757,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,456,W-220456,4117 WESTMINSTER AVE,-75.20643005390841,39.9704471732283,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,325,W-150325,4035 POPLAR ST,-75.205237977248,39.9727995925534,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,325,W-150325,4022 CAMBRIDGE ST,-75.2049100448624,39.9731325146832,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,325,W-150325,4020 CAMBRIDGE ST,-75.2048608520454,39.973138400308,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,325,W-150325,4018 CAMBRIDGE ST,-75.20481221215741,39.9731448221094,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,418,W-210418,3868 MOUNT VERNON ST,-75.1992888015163,39.9636865358403,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,418,W-210418,3860 MOUNT VERNON ST,-75.1990910388888,39.9637078785357,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,418,W-210418,3858 MOUNT VERNON ST,-75.19904122801729,39.963713704434,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,418,W-210418,3828 MOUNT VERNON ST,-75.19829649370131,39.9637925403798,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,170,W-080170,3714 ASPEN ST,-75.1974636981753,39.9667163473855,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,170,W-080170,3712 ASPEN ST,-75.19741358616329,39.9667225344518,Placebo/mow,4/17/2013,Philadelphia,PA,4/15/2015
W,170,W-080170,3708 ASPEN ST,-75.19720162789039,39.9667644317085,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,170,W-080170,3706 ASPEN ST,-75.19714378947241,39.9667687987486,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,170,W-080170,3704 ASPEN ST,-75.1970972192848,39.9667771499506,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,915,W-260915,3610 HAVERFORD AVE,-75.1949658270391,39.9634997619281,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,915,W-260915,3608 HAVERFORD AVE,-75.1949043702362,39.9634752599835,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,915,W-260915,3606 HAVERFORD AVE,-75.19484539114249,39.9634815466919,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,915,W-260915,3604 HAVERFORD AVE,-75.1947854363879,39.9634862207017,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,834,W-200834,317 N 41ST ST,-75.2050115627486,39.9594636135327,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,834,W-200834,315 N 41ST ST,-75.20500325964559,39.9593945649836,Green,4/20/2013,Philadelphia,PA,4/15/2015
NNE,113,NNE-150113,3138 N 08TH ST,-75.14378697119611,39.9996521307774,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
NNE,113,NNE-150113,3136 N 08TH ST,-75.1437958140736,39.9996122806983,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
NNE,113,NNE-150113,3104 N 08TH ST,-75.14393723425709,39.9989761746677,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
NNE,113,NNE-150113,3102 N 08TH ST,-75.1439465074934,39.9989364334765,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
NNE,113,NNE-150113,3100 N 08TH ST,-75.1439565734286,39.9988947113669,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,834,W-200834,303 N 41ST ST,-75.2049401380274,39.9591015878294,Green,4/20/2013,Philadelphia,PA,4/15/2015
NNE,120,NNE-180120,2904 Gransback,-75.12184684977061,39.9930755372744,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,120,NNE-180120,2904 D ST/2900? D instead,-75.1223300221597,39.9933741930648,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,120,NNE-180120,2903 D ST,-75.122015933588,39.9930497249261,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,120,NNE-180120,2902 Gransback,-75.1218442635208,39.993026969712,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,120,NNE-180120,2902 D ST,-75.1223118301788,39.9933115570952,Green,4/19/2013,Philadelphia,PA,4/15/2015
